dataset,base,value_count,palindrome_count,palindrome_rank,collapse_8_count,collapse_12_count,collapse_4_count,attractor_8_12_count,attractor_rank,combined_score,combined_rank,palindrome_examples,collapse_8_examples,collapse_12_examples
paper_basis,10,34,5,3,10,4,5,14,1,24,1,Elohim=646; El Olam=737; El Roi=242; El Gibbor=242; Elohei HaShamayim=1001,YHWH=26; Shaddai=314; El Olam=737; El Roi=242; El Gibbor=242; El Yeshuati=827; HaRachaman=953; Yeshua=386; Immanuel=197; Elohei Avraham=854,Ehyeh Asher Ehyeh=543; El Shaddai=345; El HaGadol=84; Elohei Yaakov=228
paper_basis,11,34,5,3,3,2,5,5,13,15,4,Ehyeh Asher Ehyeh=454; HaRachaman=797; El Berit=535; El HaGadol=77; Elohei Avraham=707,El Yeshuati=692; Immanuel=16A; El HaKavod=62,Eloah=39; El Kana=156
paper_basis,12,34,7,1,3,2,5,5,13,19,2,YHWH=22; Adonai=55; Shaddai=222; Ehyeh Asher Ehyeh=393; El Olam=515; HaKadosh Baruch Hu=7A7; Yeshua=282,Mashiach=25A; Elohei HaAretz=800; Elohei Yaakov=170,Yeshua=282; Elohei Yitzchak=192
paper_basis,13,34,2,7,4,2,2,6,10,10,12,Eloah=33; El HaGadol=66,El Olam=449; HaRachaman=584; Elohei HaShamayim=5C0; El HaKavod=53,El HaGadol=66; Elohei Yaakov=147
paper_basis,14,34,1,17,7,0,8,7,6,9,15,Immanuel=101,El Roi=134; El Gibbor=134; El Yeshuati=431; HaRachaman=4C1; HaKadosh Baruch Hu=5B1; Ribbono Shel Olam=68C; El De’ot=287,
paper_basis,15,34,0,18,1,2,6,3,15,3,19,,Ribbono Shel Olam=5BA,YHWH=1B; El HaKavod=48
paper_basis,16,34,2,7,9,2,5,11,3,15,4,Shekhinah=181; El HaKavod=44,El Olam=2E1; El Roi=F2; El Gibbor=F2; El Yeshuati=33B; Immanuel=C5; Sar Shalom=59C; Elohei HaShamayim=3E9; El Kana=B6; El HaKavod=44,Eloah=2A; Elohei HaAretz=480
paper_basis,17,34,2,7,3,0,6,3,15,7,16,Mashiach=141; El De’ot=1D1,Adonai=3E; El Olam=296; Shekhinah=15B,
paper_basis,18,34,2,7,4,2,3,6,10,10,12,Ribbono Shel Olam=404; Elohei Yaakov=CC,Eloah=26; HaRachaman=2GH; Ribbono Shel Olam=404; El HaKavod=3E,Yeshua=138; El Kana=A2
paper_basis,19,34,0,18,10,2,5,12,2,12,7,,YHWH=17; Shaddai=GA; El Olam=20F; El Roi=CE; El Gibbor=CE; El Yeshuati=25A; HaRachaman=2C3; Yeshua=116; Immanuel=A7; Elohei Avraham=26I,El HaGadol=48; Elohei Yaakov=C0
paper_basis,20,34,2,7,7,1,5,8,5,12,7,Eloah=22; El HaGadol=44,Adonai=35; Ribbono Shel Olam=350; Immanuel=9H; Mashiach=HI; El De’ot=15B; El HaGadol=44; Elohei Yitzchak=CE,El=1B
