index,name,hebrew,inherited_hebrew,form_status,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,recommended_action,scope,thematic_or_structural_domain,standard_gematria,claimed_standard,standard_match,mispar_gadol,claimed_mispar_gadol,mispar_gadol_match,base12_standard,base12_mispar_gadol,claimed_base12,base12_claim_basis,base12_match,decimal_collapse_standard,decimal_collapse_mispar_gadol,base12_collapse_standard,base12_collapse_mispar_gadol,base10_palindrome_layers,base12_palindrome_layers,strict_8_layers,strict_12_layers,strict_layers,canonical_or_structural_signatures,notable_constant_hits,ordinary_math_hits,shared_value_links,current_paper_cluster,audit_flags,taxonomy_flags,review_status,revision_note
11,El Gibbor,אל גבור,אל גבור,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 10:21,https://www.sefaria.org/Isaiah.10.21?lang=bi,אל גבור,retain,literal-heading,might/agency,242,242,yes,242,242,yes,182_12,182_12,182_12,mispar-gadol,yes,8,8,11,11,standard=242; mispar-gadol=242,,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8; standard-base10-palindrome; mispar-gadol-base10-palindrome,,,standard=242 (star-number-multiple: 2 * 121 (S5)); mispar-gadol=242 (star-number-multiple: 2 * 121 (S5)),standard=242 with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); mispar-gadol=242 with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-standard=182_12 (242_10) with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-mispar-gadol=182_12 (242_10) with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.),8-collapse; Base10 palindrome,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.; Shared link: standard=242 with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); mispar-gadol=242 with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-standard=182_12 (242_10) with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.); base12-mispar-gadol=182_12 (242_10) with El Roi (Exact seeing/might pair; also matched by candidate YHWH Yireh.)
12,El Yeshuati,אל ישועתי,אל ישועתי,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 12:2,https://www.sefaria.org/Isaiah.12.2?lang=bi,אל ישועתי,retain,literal-heading,salvation,827,827,yes,827,827,yes,58B_12,58B_12,58B_12,mispar-gadol,yes,8,8,6,6,,,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8,,,,,8-collapse.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
13,Shekhinah,שכינה,שכינה,later-traditional,later-traditional,rabbinic-theological-term,later-exact-use,Pirkei Avot 3:6,https://www.sefaria.org/Pirkei_Avot.3.6?lang=bi,שכינה,separate-layer,literal-heading,presence/indwelling,385,385,yes,385,385,yes,281_12,281_12,281_12,mispar-gadol,yes,7,7,11,11,,,,,,,,,,12-collapse (from 385 → 3+8+5=16 → 7? No. But from 281_12 → 2+8+1=11? Also no.; But Shekhinah is canonically assigned to the 12-cluster because of its thematic alignment and its role in the 22-scroll system.),claimed-12-collapse-without-computed-12,paper-claims-12-without-strict-12; calculation-review,calculation-review,"Relabel current spelling as thematic/domain only, or introduce `HaShekhinah` as a separate exact first-step 12-sum variant.; Current form is 385 -> 7; keep 12-domain only as thematic unless HaShekhinah is added as a separate exact 12-sum variant."
14,HaMakom,המקום,המקום,later-traditional,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Mishnah Sanhedrin 6:5,https://www.sefaria.org/Mishnah_Sanhedrin.6.5?lang=bi,המקום,separate-layer,literal-heading,presence/place,191,191,yes,751,751,yes,13B_12,527_12,527_12,mispar-gadol,yes,11,4,6,5,standard=191,,,,standard-base10-palindrome,,,,,Base10 palindrome cluster.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
15,HaRachaman,הרחמן,הרחמן,later-traditional,later-traditional,liturgical-divine-epithet,later-exact-divine-use,"Birkat Hamazon, Hatov Vehametiv 2",https://www.sefaria.org/Birkat_Hamazon%2C_Hatov_Vehametiv.2?lang=bi,הרחמן,separate-layer,literal-heading,mercy,303,303,yes,953,953,yes,213_12,675_12,675_12,mispar-gadol,yes,6,8,6,9,standard=303,,mispar-gadol-collapse-8,,mispar-gadol-collapse-8; standard-base10-palindrome,,,,,8-collapse; Base10 palindrome,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,הקדוש ברוך הוא,later-traditional,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,https://www.sefaria.org/Pirkei_Avot.3.2?lang=bi,הקדוש ברוך הוא,separate-layer,literal-heading,holiness/blessing,655,650,no,1135,1135,yes,467_12,7A7_12,7A7_12,mispar-gadol,yes,7,10,8,6,,mispar-gadol=7A7_12,base12-standard-collapse-8,,base12-standard-collapse-8; mispar-gadol-base12-palindrome:7A7; standard-constant-655:Tanakh chapter prefix; mispar-gadol-base12=7A7_12 (HaKadosh Baruch Hu Mispar Gadol palindrome),standard-constant-655:Tanakh chapter prefix; mispar-gadol-base12=7A7_12 (HaKadosh Baruch Hu Mispar Gadol palindrome),standard=655 (exact: Tanakh 929 -> 655_12 prefix candidate); mispar-gadol-base12=7A7 (base12-string: HaKadosh Baruch Hu Mispar Gadol palindrome),,,Base12 palindrome cluster.,standard-claim-mismatch,strict-8-not-claimed; major-constant-not-claimed; calculation-review,calculation-review,Fix article/form mix; full form gives 655 standard and 1135 -> 7A7_12 Mispar Gadol.; Resolve full-form vs no-article form before final prose.
17,Ribbono Shel Olam,רבונו של עולם,ריבונו של עולם,source-corrected,later-traditional,rabbinic-address-formula,normalized-later-form,Menachot 29b:5,https://www.sefaria.org/Menachot.29b.5?lang=bi,רבונו של עולם,correct-and-separate,literal-heading,sovereignty/cosmos,740,744,no,1300,1960,no,518_12,904_12,1174_12,mispar-gadol,no,11,4,5,4,,,,,,,,standard=740 (star-number-multiple: 20 * 37 (S3)),,12-collapse (thematically),standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-12-collapse-without-computed-12,paper-claims-12-without-strict-12; calculation-review,calculation-review,Correct or relabel the claimed collapse category.
18,Yeshua,ישוע,ישוע,messianic-comparative,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,https://www.sefaria.org/Ezra.2.2?lang=bi,ישוע,separate-layer,literal-heading,salvation/agency bridge,386,386,yes,386,386,yes,282_12,282_12,282_12,mispar-gadol,yes,8,8,12,12,,standard=282_12; mispar-gadol=282_12,standard-collapse-8; mispar-gadol-collapse-8,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,standard-collapse-8; mispar-gadol-collapse-8; base12-standard-collapse-12; base12-mispar-gadol-collapse-12; standard-base12-palindrome:282; mispar-gadol-base12-palindrome:282; standard-base12=282_12 (Yeshua bridge string); mispar-gadol-base12=282_12 (Yeshua bridge string),standard-base12=282_12 (Yeshua bridge string); mispar-gadol-base12=282_12 (Yeshua bridge string),standard=386 (exact: Yeshua); mispar-gadol=386 (exact: Yeshua); standard-base12=282 (base12-string: Yeshua bridge string); mispar-gadol-base12=282 (base12-string: Yeshua bridge string),,,12-collapse,,strict-8-not-claimed; strict-base12-not-claimed,classification-review,"Cross-classify: terminal decimal 8, exact base-12 digit sum 12, and base-12 palindrome; elevate the `282_12` bridge.; Treat 282_12 as a major bridge: 8 inside a 2...2 frame, with the exact digit sum 2 + 8 + 2 = 12."
19,Immanuel,עמנו אל,עמנואל,source-corrected,messianic-comparative,biblical-sign-name,normalized-biblical-form,Isaiah 7:14,https://www.sefaria.org/Isaiah.7.14?lang=bi,עמנו אל,correct-segmentation,literal-heading,presence/incarnation,197,197,yes,197,197,yes,145_12,145_12,145_12,mispar-gadol,yes,8,8,10,10,,,standard-collapse-8; mispar-gadol-collapse-8,,standard-collapse-8; mispar-gadol-collapse-8,,,,standard=197 with El Elyon (Transcendence/immanence pair.); base12-standard=145_12 (197_10) with El Elyon (Transcendence/immanence pair.),8-collapse.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.; Shared link: standard=197 with El Elyon (Transcendence/immanence pair.); base12-standard=145_12 (197_10) with El Elyon (Transcendence/immanence pair.)
20,Mashiach,משיח,משיח,messianic-comparative,messianic-comparative,biblical-royal-title,exact-nonexclusive-title,I Samuel 24:7,https://www.sefaria.org/I_Samuel.24.7?lang=bi,משיח,separate-layer,literal-heading,messianic agency,358,358,yes,358,358,yes,25A_12,25A_12,25A_12,mispar-gadol,yes,7,7,8,8,,,base12-standard-collapse-8; base12-mispar-gadol-collapse-8,,base12-standard-collapse-8; base12-mispar-gadol-collapse-8,,standard=358 (exact: Mashiach/Nachash); mispar-gadol=358 (exact: Mashiach/Nachash),,,8-collapse.,,,stable-computed,Strict classification agrees broadly; preserve with clearer layer labels.
21,Sar Shalom,שר שלום,שר שלום,messianic-comparative,messianic-comparative,biblical-royal-title,exact-royal-title,Isaiah 9:5,https://www.sefaria.org/Isaiah.9.5?lang=bi,שר שלום,separate-layer,literal-heading,peace/rule,876,876,yes,1436,1446,no,610_12,9B8_12,A06_12,mispar-gadol,no,3,5,7,10,,,,,,,,standard=876 (star-number-multiple: 12 * 73 (S4)); standard-base12=610_12 (base12-notation-fibonacci-string: digits form Fibonacci number 610),,Neutral.,mispar-gadol-claim-mismatch; base12-claim-mismatch,calculation-review,calculation-review,Resolve arithmetic/rule mismatch before final classification.; Possible 12 * 73 star-number multiple remains exploratory.
22,Adon,אדון,אדון,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Joshua 3:11,https://www.sefaria.org/Joshua.3.11?lang=bi,אדון,retain,literal-heading,lordship/root title,61,61,yes,711,711,yes,51_12,4B3_12,4B3_12,mispar-gadol,yes,7,9,6,9,,,,,,,,,,Neutral.,,,neutral-or-thematic,Leave neutral unless thematic grounds are explicitly argued.
23,Elohei HaShamayim,אלהי השמים,אלוהי השמים,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:7,https://www.sefaria.org/Genesis.24.7?lang=bi,אלהי השמים,correct-orthography,literal-heading,heaven/cosmic order,441,447,no,1001,1007,no,309_12,6B5_12,6BB_12,mispar-gadol,no,9,2,12,4,mispar-gadol=1001,,,base12-standard-collapse-12,base12-standard-collapse-12; mispar-gadol-base10-palindrome,,,standard=441 (square: 21^2),,8-collapse.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8,paper-claims-8-without-strict-8; strict-12-not-claimed; strict-base10-not-claimed; calculation-review,calculation-review,Use the corrected construct spelling: the inherited 313_12 palindrome disappears; the admitted form retains a base-12 12-collapse and a Mispar Gadol decimal palindrome.
24,Elohei HaAretz,אלהי הארץ,אלוהי הארץ,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:3,https://www.sefaria.org/Genesis.24.3?lang=bi,אלהי הארץ,correct-orthography,literal-heading,earth/cosmic order,342,348,no,1152,1048,no,246_12,800_12,734_12,mispar-gadol,no,9,9,12,8,,,base12-mispar-gadol-collapse-8,base12-standard-collapse-12,base12-mispar-gadol-collapse-8; base12-standard-collapse-12,,,,,Neutral.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch,strict-8-not-claimed; strict-12-not-claimed; paper-neutral-but-strict-signature; calculation-review,calculation-review,Consider cross-classification or explain why this strict layer is excluded.
25,El Shaddai,אל שדי,אל שדי,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,אל שדי,retain,literal-heading,power/provision,345,345,yes,345,345,yes,249_12,249_12,249_12,mispar-gadol,yes,12,12,6,6,,,,standard-collapse-12; mispar-gadol-collapse-12,standard-collapse-12; mispar-gadol-collapse-12; standard-constant-345:345; mispar-gadol-constant-345:345,standard-constant-345:345; mispar-gadol-constant-345:345,standard=345 (exact: El Shaddai/Moses/3-4-5); mispar-gadol=345 (exact: El Shaddai/Moses/3-4-5),standard=345 (pythagorean-digit-encoding: primitive 3-4-5 triple); mispar-gadol=345 (pythagorean-digit-encoding: primitive 3-4-5 triple),,12-collapse,,major-constant-not-claimed,classification-review,Strict classification agrees broadly; preserve with clearer layer labels.
26,El Kana,אל קנא,אל קנא,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Exodus 34:14,https://www.sefaria.org/Exodus.34.14?lang=bi,אל קנא,retain,literal-heading,jealousy/covenant,182,182,yes,182,182,yes,132_12,132_12,132_12,mispar-gadol,yes,11,11,6,6,,,,,,,,standard=182 (star-number-multiple: 14 * 13 (S2)); mispar-gadol=182 (star-number-multiple: 14 * 13 (S2)),,Neutral.,,,neutral-or-thematic,Leave neutral unless thematic grounds are explicitly argued.
27,El De’ot,אל דעות,אל דעות,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,I Samuel 2:3,https://www.sefaria.org/I_Samuel.2.3?lang=bi,אל דעות,retain,literal-heading,knowledge/wisdom,511,511,yes,511,1411,no,367_12,367_12,997_12,mispar-gadol,no,7,7,7,7,,,,,,,,standard=511 (star-number-multiple: 7 * 73 (S4)); standard=511 (mersenne: 2^9 - 1); mispar-gadol=511 (star-number-multiple: 7 * 73 (S4)); mispar-gadol=511 (mersenne: 2^9 - 1),,Neutral.,mispar-gadol-claim-mismatch; base12-claim-mismatch,calculation-review,calculation-review,Do not use final-tsadi logic for the displayed heading; any 12 result requires a different attested form.; Current displayed form is 511; final-tsadi logic does not apply to the ending tav.
28,El Berit,אל ברית,אל ברית,foreign-deity-or-ambiguous,foreign-deity-or-ambiguous,biblical-foreign-deity-title,exact-foreign-deity-use,Judges 9:46,https://www.sefaria.org/Judges.9.46?lang=bi,אל ברית,exclude-primary,literal-heading,covenant,643,643,yes,643,643,yes,457_12,457_12,457_12,mispar-gadol,yes,4,4,7,7,,,,,,,,,,Neutral.,,,neutral-or-thematic,Leave neutral unless thematic grounds are explicitly argued.
29,El HaNe’eman,האל הנאמן,אל הנאמן,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Deuteronomy 7:9,https://www.sefaria.org/Deuteronomy.7.9?lang=bi,האל הנאמן,correct-article,literal-heading,faithfulness/stability,182,179,no,832,879,no,132_12,594_12,613_12,mispar-gadol,no,11,4,6,9,,,,,,,,standard=182 (star-number-multiple: 14 * 13 (S2)),,8-collapse (from standard 179 → 17 → 8),standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8,paper-claims-8-without-strict-8; calculation-review,calculation-review,Correct or relabel the claimed collapse category.
30,El HaGadol,האל הגדול,אל הגדול,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Nehemiah 1:5,https://www.sefaria.org/Nehemiah.1.5?lang=bi,האל הגדול,correct-article,literal-heading,greatness,84,74,no,84,74,no,70_12,70_12,62_12,mispar-gadol,no,12,12,7,7,,,,standard-collapse-12; mispar-gadol-collapse-12,standard-collapse-12; mispar-gadol-collapse-12,,,,,8-collapse.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8,paper-claims-8-without-strict-8; strict-12-not-claimed; calculation-review,calculation-review,Remove 8-collapse claim unless a different attested form is intentionally selected.
32,El HaKavod,אל הכבוד,אל הכבוד,primary-biblical,primary-biblical,biblical-divine-title,exact-divine-use,Psalms 29:3,https://www.sefaria.org/Psalms.29.3?lang=bi,אל הכבוד,retain,literal-heading,glory,68,69,no,68,69,no,58_12,58_12,59_12,mispar-gadol,no,5,5,4,4,,,,,,,,,,Neutral.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch,calculation-review,calculation-review,Resolve arithmetic/rule mismatch before final classification.
35,Elohei Avraham,אלהי אברהם,אלוהי אברהם,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי אברהם,correct-orthography,literal-heading,patriarchal covenant,294,300,no,854,900,no,206_12,5B2_12,630_12,mispar-gadol,no,6,8,8,9,,,mispar-gadol-collapse-8; base12-standard-collapse-8,,mispar-gadol-collapse-8; base12-standard-collapse-8,,,,,Neutral.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch,strict-8-not-claimed; paper-neutral-but-strict-signature; calculation-review,calculation-review,Consider cross-classification or explain why this strict layer is excluded.
36,Elohei Yitzchak,אלהי יצחק,אלוהי יצחק,source-corrected,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי יצחק,correct-orthography,literal-heading,patriarchal covenant,254,260,no,254,1152,no,192_12,192_12,800_12,mispar-gadol,no,11,11,12,12,,,,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,,,,,8-collapse.,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8,paper-claims-8-without-strict-8; strict-12-not-claimed; calculation-review,calculation-review,Correct or relabel the claimed collapse category.
