comparison,control_id,hebrew,first_reference,first_value,first_base12,full_value,full_base12,first_palindrome,full_palindrome,completion_hit
exact_4_3_4_no_finals,C0263892,יצחק בני יצחק,1Chr.1.34,208,154,478,33A,no,no,no
exact_4_3_4_no_finals,C0264199,ישוב ולא ישוב,Jer.8.4,318,226,673,481,no,no,no
exact_4_3_4_no_finals,C0264793,כויה תחת כויה,Exod.21.25,41,35,890,622,no,no,no
exact_4_3_4_no_finals,C0269874,ממנו יתד ממנו,Zech.10.4,136,B4,686,492,no,no,no
exact_4_3_4_no_finals,C0269886,ממנו פנה ממנו,Zech.10.4,136,B4,407,29B,no,no,no
exact_4_3_4_no_finals,C0270101,מעוז לדל מעוז,Isa.25.4,123,A3,310,21A,no,no,no
exact_4_3_4_no_finals,C0271343,נפשו תחת נפשו,2Kgs.10.24,436,304,1680,B80,no,no,no
exact_4_3_4_no_finals,C0271499,נשיא אחד נשיא,Josh.22.14,361,261,735,513,no,no,no
exact_4_3_4_no_finals,C0273259,עמלק ואת עמלק,1Sam.15.20,240,180,887,61B,no,no,no
exact_4_3_4_no_finals,C0273994,פניו ועז פניו,Eccl.8.1,146,102,375,273,no,no,no
exact_4_3_4_no_finals,C0277297,תעשו ככה תעשו,Num.15.12,776,548,1597,B11,no,no,no
all_three_word_controls,C0200357,או אשה או,Deut.29.17,7,7,320,228,no,no,no
all_three_word_controls,C0200361,או בגד או,Lev.11.32,7,7,23,1B,no,no,no
all_three_word_controls,C0200362,או במת או,Num.19.16,7,7,456,320,no,no,no
all_three_word_controls,C0200366,או גרב או,Lev.21.20,7,7,219,163,no,no,no
all_three_word_controls,C0200367,או דדו או,Lev.25.49,7,7,28,24,no,no,no
all_three_word_controls,C0200368,או חדש או,Num.9.22,7,7,326,232,no,yes,yes
all_three_word_controls,C0200370,או חרש או,Exod.4.11,7,7,522,376,no,no,no
all_three_word_controls,C0200373,או כשב או,Lev.17.3,7,7,336,240,no,no,no
all_three_word_controls,C0200377,או עור או,Lev.11.32,7,7,290,202,no,yes,yes
all_three_word_controls,C0200380,או פסח או,Lev.21.18,7,7,162,116,no,no,no
all_three_word_controls,C0200381,או פקח או,Exod.4.11,7,7,202,14A,no,no,no
all_three_word_controls,C0200382,או ראה או,Lev.5.1,7,7,220,164,no,no,no
all_three_word_controls,C0200386,או שור או,Exod.22.9,7,7,520,374,no,no,no
all_three_word_controls,C0200515,את עמי את,1Chr.11.2,401,295,922,64A,no,no,no
all_three_word_controls,C0200595,בת ענה בת,Gen.36.2,402,296,929,655,no,no,no
all_three_word_controls,C0200596,בת שבע בת,2Sam.11.3,402,296,1176,820,no,no,no
all_three_word_controls,C0200670,זה ואי זה,Esth.7.5,12,10,41,35,no,no,no
all_three_word_controls,C0200699,יד תחת יד,Exod.21.24,14,12,836,598,no,no,no
all_three_word_controls,C0200713,כה ועד כה,1Kgs.18.45,25,21,130,AA,no,yes,yes
all_three_word_controls,C0200747,כי בשו כי,Ps.71.24,30,26,368,268,no,no,no
all_three_word_controls,C0200762,כי טוב כי,1Chr.16.34,30,26,77,65,no,no,no
all_three_word_controls,C0200773,כי ירא כי,Judg.8.20,30,26,271,1A7,no,no,no
all_three_word_controls,C0200869,כי ראה כי,Esth.7.7,30,26,266,1A2,no,no,no
all_three_word_controls,C0200871,כי ראו כי,1Kgs.3.28,30,26,267,1A3,no,no,no
all_three_word_controls,C0200884,כי שמע כי,1Kgs.5.15,30,26,470,332,no,no,no
all_three_word_controls,C0200908,כל הבל כל,Ps.39.6,50,42,137,B5,no,no,no
all_three_word_controls,C0200913,כל זכר כל,Gen.34.24,50,42,327,233,no,no,no
all_three_word_controls,C0200920,כל נגע כל,1Kgs.8.37,50,42,223,167,no,no,no
all_three_word_controls,C0200925,כל פרי כל,Neh.10.36,50,42,390,286,no,no,no
all_three_word_controls,C0201057,לו לתת לו,2Kgs.8.19,36,30,902,632,no,no,no
all_three_word_controls,C0201070,לי אוי לי,Isa.24.16,40,34,97,81,no,no,no
all_three_word_controls,C0201096,לי רזי לי,Isa.24.16,40,34,297,209,no,no,no
all_three_word_controls,C0201097,לי שמע לי,Job.31.35,40,34,490,34A,no,no,no
all_three_word_controls,C0201120,מי אתי מי,2Kgs.9.32,50,42,511,367,no,no,no
all_three_word_controls,C0201170,נא רפא נא,Num.12.13,51,43,383,27B,no,no,no
all_three_word_controls,C0201195,עד אשר עד,Josh.17.14,74,62,649,461,no,no,no
all_three_word_controls,C0201200,עד יבק עד,Num.21.24,74,62,260,198,no,no,no
all_three_word_controls,C0201237,על ידו על,2Kgs.7.17,100,84,220,164,no,no,no
all_three_word_controls,C0201254,על כפו על,Lev.14.28,100,84,306,216,no,no,no
all_three_word_controls,C0201260,על ליש על,Judg.18.27,100,84,540,390,no,no,no
all_three_word_controls,C0201270,על עמו על,1Sam.15.1,100,84,316,224,no,no,no
all_three_word_controls,C0201271,על עמי על,2Sam.7.8,100,84,320,228,no,no,no
all_three_word_controls,C0201283,על שור על,Exod.22.8,100,84,706,4AA,no,no,no
all_three_word_controls,C0201286,על שקר על,Lev.5.22,100,84,800,568,no,no,no
all_three_word_controls,C0201317,צו לצו צו,Isa.28.10,96,80,318,226,no,no,no
all_three_word_controls,C0201331,קו לקו קו,Isa.28.10,106,8A,348,250,no,no,no
all_three_word_controls,C0201448,או בגזל או,Lev.5.21,7,7,56,48,no,no,no
all_three_word_controls,C0201449,או בדוד או,1Sam.2.14,7,7,30,26,no,no,no
all_three_word_controls,C0201450,או בחלל או,Num.19.18,7,7,84,70,no,no,no
all_three_word_controls,C0201453,או בעור או,Lev.13.48,7,7,292,204,no,no,no
all_three_word_controls,C0201454,או בערב או,Lev.13.49,7,7,288,200,no,no,no
all_three_word_controls,C0201455,או בשתי או,Lev.13.48,7,7,726,506,no,no,no
all_three_word_controls,C0201456,או הערב או,Lev.13.58,7,7,291,203,no,no,no
all_three_word_controls,C0201457,או הקמה או,Exod.22.5,7,7,164,118,no,no,no
all_three_word_controls,C0201458,או השתי או,Lev.13.58,7,7,729,509,no,no,no
all_three_word_controls,C0201460,או יבלת או,Lev.22.22,7,7,456,320,no,no,no
all_three_word_controls,C0201461,או ילפת או,Lev.21.20,7,7,534,386,no,no,no
all_three_word_controls,C0201467,או לירח או,Deut.17.3,7,7,262,19A,no,no,no
all_three_word_controls,C0201473,או נשבר או,Exod.22.9,7,7,566,3B2,no,no,no
all_three_word_controls,C0201474,או ספחת או,Lev.13.2,7,7,562,3AA,no,no,no
all_three_word_controls,C0201481,או שבור או,Lev.22.22,7,7,522,376,no,no,no
all_three_word_controls,C0201655,אם בהמה אם,Exod.19.13,41,35,134,B2,no,no,no
all_three_word_controls,C0201674,אם למות אם,2Sam.15.21,41,35,558,3A6,no,no,no
all_three_word_controls,C0201676,אם לשבט אם,Job.37.13,41,35,423,2B3,no,no,no
all_three_word_controls,C0201699,אמר כה אמר,Ezek.11.5,241,181,507,363,yes,yes,no
all_three_word_controls,C0201896,אשר לו אשר,Gen.23.9,501,359,1038,726,no,no,no
all_three_word_controls,C0201983,את אחיו את,Gen.4.2,401,295,827,58B,no,no,no
all_three_word_controls,C0202011,את אשתי את,2Sam.3.14,401,295,1513,A61,no,no,no
all_three_word_controls,C0202021,את בכרו את,1Chr.2.13,401,295,1030,71A,no,no,no
all_three_word_controls,C0202027,את בניו את,Deut.21.16,401,295,870,606,no,yes,yes
all_three_word_controls,C0202035,את גדלו את,Deut.11.2,401,295,845,5A5,no,yes,yes
all_three_word_controls,C0202056,את האשה את,Num.5.24,401,295,1113,789,no,no,no
all_three_word_controls,C0202059,את הבית את,Lev.14.45,401,295,1219,857,no,no,no
all_three_word_controls,C0202068,את החוי את,Exod.23.28,401,295,831,593,no,no,no
all_three_word_controls,C0202070,את החרב את,Jer.24.10,401,295,1017,709,no,no,no
all_three_word_controls,C0202079,את הנער את,2Sam.14.21,401,295,1127,79B,no,no,no
all_three_word_controls,C0202209,את מקלי את,Zech.11.10,401,295,982,69A,no,no,no
all_three_word_controls,C0202221,את עדרו את,Zech.10.3,401,295,1082,762,no,no,no
all_three_word_controls,C0202246,את עשית את,Neh.9.6,401,295,1582,ABA,no,yes,yes
all_three_word_controls,C0202280,את שאלת את,1Kgs.2.22,401,295,1533,A79,no,no,no
all_three_word_controls,C0202451,בו ותהי בו,1Sam.18.17,8,8,437,305,no,no,no
all_three_word_controls,C0202513,בכל פה בכל,Isa.9.11,52,44,189,139,yes,no,no
all_three_word_controls,C0202611,בת מטרד בת,1Chr.1.50,402,296,1057,741,no,no,no
all_three_word_controls,C0202633,גד לבני גד,Josh.13.24,7,7,106,8A,no,no,no
all_three_word_controls,C0202654,גם אהבה גם,Eccl.9.1,43,37,99,83,no,no,no
all_three_word_controls,C0202661,גם בחור גם,Deut.32.25,43,37,302,212,no,yes,yes
all_three_word_controls,C0202677,גם לדוד גם,2Sam.16.23,43,37,130,AA,no,yes,yes
all_three_word_controls,C0202678,גם לילה גם,1Sam.25.16,43,37,161,115,no,no,no
all_three_word_controls,C0202679,גם נביא גם,Jer.14.18,43,37,149,105,no,no,no
all_three_word_controls,C0202681,גם תמול גם,1Chr.11.2,43,37,562,3AA,no,no,no
all_three_word_controls,C0202747,דם והיה דם,Exod.7.19,44,38,114,96,no,no,no
all_three_word_controls,C0202800,הדם כי הדם,Deut.12.23,49,41,128,A8,no,no,no
all_three_word_controls,C0202838,הוה על הוה,Ezek.7.26,16,14,132,B0,no,no,no
all_three_word_controls,C0202987,העם כי העם,Ezra.3.13,115,97,260,198,no,no,no
all_three_word_controls,C0203072,ואת גת ואת,2Chr.11.8,407,29B,1217,855,no,no,no
all_three_word_controls,C0203213,וכל זב וכל,Num.5.2,56,48,121,A1,no,no,no
all_three_word_controls,C0203290,ועד גת ועד,1Sam.17.52,80,68,563,3AB,no,no,no
all_three_word_controls,C0203341,זאת לא זאת,Ezek.21.31,408,2A0,847,5A7,no,no,no
all_three_word_controls,C0203372,זה לעמת זה,Eccl.7.14,12,10,564,3B0,no,no,no
all_three_word_controls,C0203404,חבל לא חבל,Ezek.18.16,40,34,111,93,no,no,no
all_three_word_controls,C0203734,כי אמרה כי,Gen.29.32,30,26,306,216,no,no,no
all_three_word_controls,C0203877,כי יבצע כי,Job.27.8,30,26,232,174,no,no,no
all_three_word_controls,C0203881,כי ידעת כי,Neh.9.10,30,26,544,394,no,no,no
all_three_word_controls,C0203885,כי יהיה כי,1Kgs.8.37,30,26,90,76,no,no,no
all_three_word_controls,C0203900,כי יראה כי,Deut.32.36,30,26,276,1B0,no,no,no
all_three_word_controls,C0204004,כי מאסת כי,Job.34.33,30,26,561,3A9,no,no,no
all_three_word_controls,C0204051,כי נראה כי,Isa.16.12,30,26,316,224,no,no,no
all_three_word_controls,C0204094,כי ראתה כי,Gen.38.14,30,26,666,476,no,no,no
all_three_word_controls,C0204112,כי שמעו כי,Gen.43.25,30,26,476,338,no,no,no
all_three_word_controls,C0204132,כי תעשק כי,Job.10.3,30,26,930,656,no,yes,yes
all_three_word_controls,C0204200,כל החיה כל,Gen.8.19,50,42,128,A8,no,no,no
all_three_word_controls,C0204229,כל חקיו כל,Exod.15.26,50,42,224,168,no,no,no
all_three_word_controls,C0204291,כל צפור כל,Ezek.17.23,50,42,476,338,no,no,no
all_three_word_controls,C0204307,כל תפלה כל,1Kgs.8.38,50,42,615,433,no,no,no
all_three_word_controls,C0204319,כמו חי כמו,Ps.58.10,66,56,150,106,no,no,no
all_three_word_controls,C0204403,לא זכרת לא,Isa.57.11,31,27,689,495,no,no,no
all_three_word_controls,C0204550,לא שמעו לא,Isa.64.3,31,27,478,33A,no,no,no
all_three_word_controls,C0204678,לו אשתו לו,Judg.13.23,36,30,779,54B,no,no,no
all_three_word_controls,C0204712,לו ונשק לו,2Sam.15.5,36,30,528,380,no,no,no
all_three_word_controls,C0204713,לו ועשה לו,Gen.37.3,36,30,453,319,no,no,no
all_three_word_controls,C0204715,לו ותהי לו,1Sam.18.21,36,30,493,351,no,no,no
all_three_word_controls,C0204716,לו זמרו לו,1Chr.16.9,36,30,325,231,no,no,no
all_three_word_controls,C0204783,לי גלעד לי,Ps.108.9,40,34,187,137,no,no,no
all_three_word_controls,C0204839,לך ובאת לך,1Sam.22.5,50,42,509,365,no,no,no
all_three_word_controls,C0204840,לך והיה לך,Isa.60.19,50,42,126,A6,no,no,no
all_three_word_controls,C0204849,לך לעגה לך,2Kgs.19.21,50,42,208,154,no,no,no
all_three_word_controls,C0204918,לצו צו לצו,Isa.28.10,126,A6,348,250,no,no,no
all_three_word_controls,C0204920,לקו קו לקו,Isa.28.10,136,B4,378,276,no,no,no
all_three_word_controls,C0205064,מן הבית מן,Exod.12.46,90,76,597,419,no,no,no
all_three_word_controls,C0205065,מן הבקר מן,Num.31.30,90,76,487,347,no,no,no
all_three_word_controls,C0205066,מן הדבר מן,Jer.21.7,90,76,391,287,no,no,no
all_three_word_controls,C0205070,מן הכבד מן,Lev.9.10,90,76,211,157,no,no,no
all_three_word_controls,C0205071,מן הנוה מן,1Chr.17.7,90,76,246,186,no,no,no
all_three_word_controls,C0205081,מני עד מני,Job.20.4,100,84,274,1AA,no,no,no
all_three_word_controls,C0205179,נח ואשת נח,Gen.7.13,58,4A,823,587,no,no,no
all_three_word_controls,C0205270,עד אפקה עד,Josh.13.4,74,62,334,23A,no,no,no
all_three_word_controls,C0205280,עד בהמה עד,Gen.6.7,74,62,200,148,no,no,no
all_three_word_controls,C0205288,עד גשתו עד,Gen.33.3,74,62,857,5B5,no,yes,yes
all_three_word_controls,C0205291,עד הנחל עד,2Sam.17.13,74,62,241,181,no,yes,yes
all_three_word_controls,C0205296,עד חמור עד,Exod.22.3,74,62,402,296,no,no,no
all_three_word_controls,C0205301,עד ירכה עד,Num.8.4,74,62,383,27B,no,no,no
all_three_word_controls,C0205397,על ברזל על,Deut.28.48,100,84,439,307,no,no,no
all_three_word_controls,C0205418,על הכבד על,Lev.3.4,100,84,231,173,no,no,no
all_three_word_controls,C0205419,על הכסא על,1Sam.1.9,100,84,286,1BA,no,no,no
all_three_word_controls,C0205433,על חמור על,Exod.22.8,100,84,454,31A,no,no,no
all_three_word_controls,C0205435,על יאור על,Isa.19.7,100,84,417,2A9,no,no,no
all_three_word_controls,C0205555,על שלמה על,Exod.22.8,100,84,575,3BB,no,no,no
all_three_word_controls,C0205711,פיו על פיו,2Kgs.4.34,96,80,292,204,no,no,no
all_three_word_controls,C0205785,קדש כי קדש,Lev.24.9,404,298,838,59A,no,no,no
all_three_word_controls,C0205821,קשב רב קשב,Isa.21.7,402,296,1006,6BA,no,no,no
all_three_word_controls,C0205870,רזי לי רזי,Isa.24.16,217,161,474,336,yes,no,no
all_three_word_controls,C0205927,שבר על שבר,Jer.4.20,502,35A,1104,780,no,no,no
all_three_word_controls,C0205952,שכם כי שכם,1Kgs.12.1,360,260,750,526,no,no,no
all_three_word_controls,C0205984,שם ואשב שם,Ezek.3.15,340,244,989,6A5,no,no,no
all_three_word_controls,C0205986,שם ועשה שם,Gen.35.1,340,244,1061,745,no,no,no
all_three_word_controls,C0205987,שם זעיר שם,Isa.28.10,340,244,967,687,no,no,no
all_three_word_controls,C0206034,שנה על שנה,Isa.29.1,355,257,810,576,no,no,no
all_three_word_controls,C0206183,אבי ישי אבי,Ruth.4.17,13,11,346,24A,yes,no,no
all_three_word_controls,C0206243,אהב פשע אהב,Prov.17.19,8,8,466,32A,no,no,no
all_three_word_controls,C0206265,או בנדבה או,Num.15.3,7,7,77,65,no,no,no
all_three_word_controls,C0206269,או בקלחת או,1Sam.2.14,7,7,554,3A2,no,no,no
all_three_word_controls,C0206271,או הנביא או,Jer.23.33,7,7,82,6A,no,no,no
all_three_word_controls,C0206284,או משפחה או,Deut.29.17,7,7,447,313,no,yes,yes
all_three_word_controls,C0206329,אחד איל אחד,Num.29.2,13,11,67,57,yes,no,no
all_three_word_controls,C0206330,אחד איש אחד,Josh.3.12,13,11,337,241,yes,no,no
all_three_word_controls,C0206341,אחד כבש אחד,Num.7.15,13,11,348,250,yes,no,no
all_three_word_controls,C0206345,אחד לגת אחד,1Sam.6.17,13,11,459,323,yes,yes,no
all_three_word_controls,C0206349,אחד קנה אחד,Ezek.40.6,13,11,181,131,yes,yes,no
all_three_word_controls,C0206351,אחד שור אחד,Neh.5.18,13,11,532,384,yes,no,no
all_three_word_controls,C0206421,איה ספר איה,Isa.33.18,16,14,372,270,no,no,no
all_three_word_controls,C0206422,איה שקל איה,Isa.33.18,16,14,462,326,no,no,no
all_three_word_controls,C0206457,איש אחד איש,Josh.3.12,311,21B,635,44B,no,no,no
all_three_word_controls,C0206592,אלה נכח אלה,1Kgs.20.29,36,30,150,106,no,no,no
all_three_word_controls,C0206720,אם לארצו אם,Job.37.13,41,35,409,2A1,no,no,no
all_three_word_controls,C0206872,אף דברתי אף,Isa.46.11,81,69,778,54A,no,no,no
all_three_word_controls,C0206945,אש וסוסי אש,2Kgs.2.11,301,211,744,520,no,no,no
all_three_word_controls,C0206977,אשם הוא אשם,Lev.5.19,341,245,694,49A,no,no,no
all_three_word_controls,C0207022,אשר אתו אשר,1Sam.6.15,501,359,1409,995,no,no,no
all_three_word_controls,C0207531,את בריחו את,Exod.35.11,401,295,1028,718,no,no,no
all_three_word_controls,C0207532,את בריתו את,2Kgs.18.12,401,295,1420,9A4,no,no,no
all_three_word_controls,C0207598,את הברזל את,Num.31.22,401,295,1046,732,no,no,no
all_three_word_controls,C0207642,את המארה את,Deut.28.20,401,295,1053,739,no,no,no
all_three_word_controls,C0207645,את המחתת את,Num.4.14,401,295,1655,B5B,no,yes,yes
all_three_word_controls,C0207658,את הנחשת את,Num.31.22,401,295,1565,AA5,no,no,no
all_three_word_controls,C0207754,את יהודה את,Zech.2.2,401,295,832,594,no,no,no
all_three_word_controls,C0207779,את יראיו את,Ps.147.11,401,295,1029,719,no,no,no
all_three_word_controls,C0207784,את ישראל את,1Sam.7.16,401,295,1343,93B,no,no,no
all_three_word_controls,C0207851,את כתנתו את,Gen.37.23,401,295,1678,B7A,no,no,no
all_three_word_controls,C0207921,את עבדיו את,Gen.50.2,401,295,894,626,no,yes,yes
all_three_word_controls,C0207953,את ערותה את,Lev.20.18,401,295,1483,A37,no,no,no
all_three_word_controls,C0207979,את צבאתי את,Exod.7.4,401,295,1305,909,no,yes,yes
all_three_word_controls,C0208329,בה ותאחז בה,Ruth.3.15,7,7,436,304,no,no,no
all_three_word_controls,C0208491,בך ונתנו בך,Ezek.25.4,22,1A,556,3A4,no,no,no
all_three_word_controls,C0208584,בנו אסא בנו,1Chr.3.10,58,4A,178,12A,no,no,no
all_three_word_controls,C0208585,בנו אצל בנו,1Chr.8.37,58,4A,237,179,no,no,no
all_three_word_controls,C0208586,בנו בעל בנו,1Chr.5.5,58,4A,218,162,no,no,no
all_three_word_controls,C0208587,בנו גוג בנו,1Chr.5.4,58,4A,128,A8,no,no,no
all_three_word_controls,C0208592,בנו זמה בנו,1Chr.6.5,58,4A,168,120,no,no,no
all_three_word_controls,C0208593,בנו זרח בנו,1Chr.6.6,58,4A,331,237,no,no,no
all_three_word_controls,C0208594,בנו יחת בנו,1Chr.6.5,58,4A,534,386,no,no,no
all_three_word_controls,C0208601,בנו עדו בנו,1Chr.6.6,58,4A,196,144,no,no,no
all_three_word_controls,C0208602,בנו עזה בנו,1Chr.6.14,58,4A,198,146,no,no,no
all_three_word_controls,C0208603,בנו עזי בנו,1Chr.6.36,58,4A,203,14B,no,no,no
all_three_word_controls,C0208604,בנו קרח בנו,1Chr.6.7,58,4A,424,2B4,no,no,no
all_three_word_controls,C0208607,בני אטר בני,Ezra.2.42,62,52,334,23A,no,no,no
all_three_word_controls,C0208617,בני בסי בני,Neh.7.52,62,52,196,144,no,no,no
all_three_word_controls,C0208621,בני גדל בני,Ezra.2.47,62,52,161,115,no,no,no
all_three_word_controls,C0208622,בני גחר בני,Ezra.2.47,62,52,335,23B,no,no,no
all_three_word_controls,C0208630,בני חגב בני,Ezra.2.46,62,52,137,B5,no,no,no
all_three_word_controls,C0208649,בני סטי בני,Ezra.2.55,62,52,203,14B,no,no,no
all_three_word_controls,C0208652,בני עזא בני,Ezra.2.49,62,52,202,14A,no,no,no
all_three_word_controls,C0208657,בני עשו בני,Gen.36.15,62,52,500,358,no,no,no
all_three_word_controls,C0208658,בני פסח בני,Ezra.2.49,62,52,272,1A8,no,no,no
all_three_word_controls,C0208659,בני צחא בני,Neh.7.46,62,52,223,167,no,no,no
all_three_word_controls,C0208661,בני קרס בני,Ezra.2.44,62,52,484,344,no,no,no
all_three_word_controls,C0208846,גבה מעל גבה,Eccl.5.7,10,A,160,114,no,no,no
all_three_word_controls,C0208894,גם אנחנו גם,Gen.43.8,43,37,201,149,no,no,no
all_three_word_controls,C0208899,גם אתמול גם,2Sam.5.2,43,37,563,3AB,no,no,no
all_three_word_controls,C0208924,גם מתמול גם,Exod.4.10,43,37,602,422,no,no,no
all_three_word_controls,C0209079,דק מחספס דק,Exod.16.14,104,88,456,320,yes,no,no
all_three_word_controls,C0209292,הוא טמא הוא,Lev.13.44,12,10,74,62,no,no,no
all_three_word_controls,C0209747,העם לכל העם,Neh.8.9,115,97,310,21A,no,no,no
all_three_word_controls,C0209993,ואת אחי ואת,Josh.2.13,407,29B,833,595,no,yes,yes
all_three_word_controls,C0209997,ואת אמה ואת,Josh.6.23,407,29B,860,5B8,no,no,no
all_three_word_controls,C0210001,ואת אמי ואת,Josh.2.13,407,29B,865,601,no,no,no
all_three_word_controls,C0210006,ואת אתו ואת,1Sam.13.20,407,29B,1221,859,no,no,no
all_three_word_controls,C0210008,ואת בוז ואת,Jer.25.23,407,29B,829,591,no,no,no
all_three_word_controls,C0210014,ואת בנו ואת,Deut.2.33,407,29B,872,608,no,no,no
all_three_word_controls,C0210015,ואת בני ואת,Exod.17.3,407,29B,876,610,no,no,no
all_three_word_controls,C0210024,ואת גזר ואת,1Chr.6.52,407,29B,1024,714,no,no,no
all_three_word_controls,C0210025,ואת דבר ואת,Josh.21.15,407,29B,1020,710,no,no,no
all_three_word_controls,C0210038,ואת הפר ואת,Exod.29.3,407,29B,1099,777,no,yes,yes
all_three_word_controls,C0210043,ואת חור ואת,Josh.13.21,407,29B,1028,718,no,no,no
all_three_word_controls,C0210044,ואת חזו ואת,Gen.22.22,407,29B,835,597,no,no,no
all_three_word_controls,C0210046,ואת חפר ואת,1Chr.4.6,407,29B,1102,77A,no,no,no
all_three_word_controls,C0210047,ואת חצר ואת,1Kgs.9.15,407,29B,1112,788,no,no,no
all_three_word_controls,C0210050,ואת יטה ואת,Josh.21.16,407,29B,838,59A,no,no,no
all_three_word_controls,C0210052,ואת יתר ואת,1Chr.6.42,407,29B,1424,9A8,no,no,no
all_three_word_controls,C0210090,ואת כשד ואת,Gen.22.22,407,29B,1138,7AA,no,no,no
all_three_word_controls,C0210094,ואת משה ואת,Num.26.59,407,29B,1159,807,no,no,no
all_three_word_controls,C0210096,ואת נבו ואת,Num.32.38,407,29B,872,608,no,no,no
all_three_word_controls,C0210099,ואת עזה ואת,Jer.25.20,407,29B,896,628,no,no,no
all_three_word_controls,C0210101,ואת עמו ואת,Josh.8.1,407,29B,930,656,no,yes,yes
all_three_word_controls,C0210104,ואת ערו ואת,Exod.29.14,407,29B,1090,76A,no,no,no
all_three_word_controls,C0210105,ואת עתי ואת,2Chr.11.20,407,29B,1294,8BA,no,no,no
all_three_word_controls,C0210107,ואת פסח ואת,1Chr.4.12,407,29B,962,682,no,no,no
all_three_word_controls,C0210110,ואת צור ואת,Josh.13.21,407,29B,1110,786,no,no,no
all_three_word_controls,C0210111,ואת קדש ואת,2Kgs.15.29,407,29B,1218,856,no,no,no
all_three_word_controls,C0210115,ואת רחב ואת,1Chr.6.60,407,29B,1024,714,no,no,no
all_three_word_controls,C0210116,ואת רחל ואת,Gen.33.2,407,29B,1052,738,no,no,no
all_three_word_controls,C0210120,ואת שמי ואת,1Chr.4.17,407,29B,1164,810,no,no,no
all_three_word_controls,C0210121,ואת תחש ואת,Gen.22.24,407,29B,1522,A6A,no,yes,yes
all_three_word_controls,C0210540,וכל בגד וכל,Lev.15.17,56,48,121,A1,no,no,no
all_three_word_controls,C0210571,ולא אבה ולא,2Sam.12.17,37,31,82,6A,no,no,no
all_three_word_controls,C0210584,ולא באה ולא,Zech.14.18,37,31,82,6A,no,no,no
all_three_word_controls,C0210588,ולא דעת ולא,Isa.44.19,37,31,548,398,no,no,no
all_three_word_controls,C0210611,ולא יחת ולא,Job.39.22,37,31,492,350,no,no,no
all_three_word_controls,C0210621,ולא ימר ולא,Ezek.48.14,37,31,324,230,no,no,no
all_three_word_controls,C0210635,ולא ישא ולא,Isa.42.2,37,31,385,281,no,no,no
all_three_word_controls,C0210747,ומן אשר ומן,Judg.7.23,96,80,693,499,no,no,no
all_three_word_controls,C0210750,ומן ההר ומן,Jer.17.26,96,80,402,296,no,no,no
all_three_word_controls,C0210812,ועד קמה ועד,Judg.15.5,80,68,305,215,no,no,no
all_three_word_controls,C0210821,ועל גוי ועל,Job.34.29,106,8A,231,173,no,no,no
all_three_word_controls,C0210846,ועל נבו ועל,Jer.48.22,106,8A,270,1A6,no,no,no
all_three_word_controls,C0210854,ועל רחל ועל,Gen.33.1,106,8A,450,316,no,no,no
all_three_word_controls,C0211167,חדש הוא חדש,Esth.9.1,312,220,636,450,no,no,no
all_three_word_controls,C0211354,טמא הוא טמא,Lev.13.44,50,42,112,94,no,no,no
all_three_word_controls,C0211626,ים הערבה ים,Deut.3.17,50,42,382,27A,no,no,no
