control_id,outer_hebrew,first_reference,consonant_family,first_value,first_base12,full_value,full_base12,completion_hit
C0006021,ועלו,2Sam.15.30,וולע,112,94,725,505,yes
C0006035,ועני,1Chr.15.18,וינע,136,B4,773,545,yes
C0006051,וערה,Isa.32.11,הוער,281,1B5,1063,747,yes
C0006085,ופנו,Lev.14.36,וונפ,142,BA,785,555,yes
C0006087,ופסח,2Sam.5.8,וחספ,154,10A,809,575,yes
C0006108,ופשע,1Sam.24.12,ועפש,456,320,1413,999,yes
C0006148,וקבע,Prov.22.23,בועק,178,12A,857,5B5,yes
C0006159,וקול,1Sam.15.14,וולק,142,BA,785,555,yes
C0006164,וקחי,Jer.46.11,וחיק,124,A4,749,525,yes
C0006173,וקלו,Hab.1.8,וולק,142,BA,785,555,yes
C0006175,וקלל,Isa.8.21,וללק,166,11A,833,595,yes
C0006180,וקמח,2Sam.17.28,וחמק,154,10A,809,575,yes
C0006243,ורעה,1Sam.25.28,הוער,281,1B5,1063,747,yes
C0006249,ורפא,1Chr.8.2,אופר,287,1BB,1075,757,yes
C0006266,ושאי,Ezek.16.52,אויש,317,225,1135,7A7,yes
C0006273,ושבט,Jer.51.19,בוטש,317,225,1135,7A7,yes
C0006291,ושחט,Isa.22.13,וחטש,323,22B,1147,7B7,yes
C0006292,ושחק,Prov.29.9,וחקש,414,2A6,1329,929,yes
C0006297,ושיא,2Sam.20.25,אויש,317,225,1135,7A7,yes
C0006362,ותאר,Josh.15.9,אורת,607,427,1715,BAB,yes
C0006367,ותבל,1Chr.1.5,בולת,438,306,1377,969,yes
C0006375,ותדד,Gen.31.40,דדות,414,2A6,1329,929,yes
C0006387,ותחל,Jer.51.29,וחלת,444,310,1389,979,yes
C0006395,ותכל,2Sam.13.39,וכלת,456,320,1413,999,yes
C0006402,ותלח,1Chr.7.25,וחלת,444,310,1389,979,yes
C0006409,ותנו,1Kgs.3.25,וונת,462,326,1425,9A9,yes
C0006413,ותסב,1Kgs.2.15,בוסת,468,330,1437,9B9,yes
C0006445,ותרא,1Chr.15.29,אורת,607,427,1715,BAB,yes
C0006471,זבחי,1Sam.10.8,בזחי,27,23,555,3A3,yes
C0006480,זובו,Lev.15.2,בווז,21,19,543,393,yes
C0006505,זמיר,Isa.25.5,זימר,257,195,1015,707,yes
C0006510,זמרי,1Chr.2.6,זימר,257,195,1015,707,yes
C0006521,זנתה,Ezek.23.19,הזנת,462,326,1425,9A9,yes
C0006523,זעיר,Isa.28.10,זיער,287,1BB,1075,757,yes
C0006532,זעקת,Ezek.27.28,זעקת,577,401,1655,B5B,yes
C0006542,זרות,Prov.22.14,וזרת,613,431,1727,BBB,yes
C0006551,זרעי,1Sam.20.42,זיער,287,1BB,1075,757,yes
C0006556,זתוא,Ezra.2.8,אוזת,414,2A6,1329,929,yes
C0006586,חדקל,Dan.10.4,דחלק,142,BA,785,555,yes
C0006589,חדשה,1Chr.13.7,דהחש,317,225,1135,7A7,yes
C0006593,חובה,Gen.14.15,בהוח,21,19,543,393,yes
C0006606,חולת,Song.2.5,וחלת,444,310,1389,979,yes
C0006644,חטוש,1Chr.3.22,וחטש,323,22B,1147,7B7,yes
C0006649,חידה,Ezek.17.2,דהחי,27,23,555,3A3,yes
C0006651,חייה,Prov.31.12,החיי,33,29,567,3B3,yes
C0006663,חיקו,Deut.28.54,וחיק,124,A4,749,525,yes
C0006669,חישה,Ps.71.12,החיש,323,22B,1147,7B7,yes
C0006677,חכמת,1Kgs.3.28,חכמת,468,330,1437,9B9,yes
C0006691,חלות,Lev.2.4,וחלת,444,310,1389,979,yes
C0006699,חללת,Ezek.22.8,חללת,468,330,1437,9B9,yes
C0006703,חלפו,Isa.24.5,וחלפ,124,A4,749,525,yes
C0006711,חלקי,1Sam.17.40,חילק,148,104,797,565,yes
C0006732,חמסי,Gen.16.5,חימס,118,9A,737,515,yes
C0006751,חנית,1Chr.11.23,חינת,468,330,1437,9B9,yes
C0006756,חנני,1Chr.25.4,חיננ,118,9A,737,515,yes
C0006773,חפני,1Sam.1.3,חינפ,148,104,797,565,yes
C0006780,חפרה,Jer.50.12,החפר,293,205,1087,767,yes
C0006803,חקיו,2Kgs.17.15,וחיק,124,A4,749,525,yes
C0006823,חרות,Exod.32.16,וחרת,614,432,1729,1001,yes
C0006833,חרנה,Gen.27.43,החנר,263,19B,1027,717,yes
C0006835,חרפה,1Sam.11.2,החפר,293,205,1087,767,yes
C0006865,חתול,Ezek.30.21,וחלת,444,310,1389,979,yes
C0006888,טהרת,1Chr.23.28,הטרת,614,432,1729,1001,yes
C0006891,טובי,Exod.33.19,בוטי,27,23,555,3A3,yes
C0006906,טמאת,Ezek.5.11,אטמת,450,316,1401,989,yes
C0006911,טעמה,Prov.31.18,הטמע,124,A4,749,525,yes
C0006925,טרפי,Ezek.17.9,טיפר,299,20B,1099,777,yes
C0006980,יבלע,2Sam.17.16,בילע,112,94,725,505,yes
C0006988,יבעל,Isa.62.5,בילע,112,94,725,505,yes
C0006990,יבצע,Isa.10.12,ביעצ,172,124,845,5A5,yes
C0006998,יבשה,1Sam.31.12,בהיש,317,225,1135,7A7,yes
C0007013,יגיד,1Kgs.14.3,גדיי,27,23,555,3A3,yes
C0007036,יגרת,Deut.28.60,גירת,613,431,1727,BBB,yes
C0007045,ידות,2Sam.19.44,דוית,420,2B0,1341,939,yes
C0007046,ידחה,Prov.14.32,דהחי,27,23,555,3A3,yes
C0007090,יהרס,Jer.31.40,היסר,275,1AB,1051,737,yes
C0007095,יואש,1Chr.3.11,אויש,317,225,1135,7A7,yes
C0007113,יומת,1Kgs.2.24,וימת,456,320,1413,999,yes
C0007116,יונק,1Sam.15.3,וינק,166,11A,833,595,yes
C0007141,יזבח,Hab.1.16,בזחי,27,23,555,3A3,yes
C0007150,יזמר,Isa.5.6,זימר,257,195,1015,707,yes
C0007160,יזרע,Deut.21.4,זיער,287,1BB,1075,757,yes
C0007161,יזרק,Isa.28.25,זיקר,317,225,1135,7A7,yes
C0007178,יחיה,1Chr.11.8,החיי,33,29,567,3B3,yes
C0007189,יחלק,1Kgs.16.21,חילק,148,104,797,565,yes
C0007193,יחמס,Job.15.33,חימס,118,9A,737,515,yes
C0007253,יכאב,Job.14.22,אביכ,33,29,567,3B3,yes
C0007291,יכתב,Esth.3.9,ביכת,432,300,1365,959,yes
C0007300,ילדת,1Sam.4.20,דילת,444,310,1389,979,yes
C0007324,ימות,1Sam.14.39,וימת,456,320,1413,999,yes
C0007360,ימתו,2Sam.18.3,וימת,456,320,1413,999,yes
C0007374,ינוע,Amos.9.9,וינע,136,B4,773,545,yes
C0007447,יעזר,2Sam.24.5,זיער,287,1BB,1075,757,yes
C0007462,יעמד,1Sam.16.22,דימע,124,A4,749,525,yes
C0007466,יענו,1Sam.21.12,וינע,136,B4,773,545,yes
C0007470,יעפו,Hab.1.8,ויעפ,166,11A,833,595,yes
C0007471,יעצב,1Sam.20.3,ביעצ,172,124,845,5A5,yes
C0007542,יצהר,1Chr.5.28,היצר,305,215,1111,787,yes
C0007551,יציב,Josh.6.26,בייצ,112,94,725,505,yes
C0007559,יצמח,1Chr.19.5,חימצ,148,104,797,565,yes
C0007566,יצרה,Isa.45.18,היצר,305,215,1111,787,yes
C0007575,יקדש,1Sam.21.6,דיקש,414,2A6,1329,929,yes
C0007584,יקחו,1Kgs.10.28,וחיק,124,A4,749,525,yes
C0007597,יקנו,Jer.32.15,וינק,166,11A,833,595,yes
C0007600,יקרא,1Kgs.8.43,איקר,311,21B,1123,797,yes
C0007626,ירדת,1Sam.17.28,דירת,614,432,1729,1001,yes
C0007669,ירצה,Job.14.6,היצר,305,215,1111,787,yes
C0007681,ישאו,Exod.28.43,אויש,317,225,1135,7A7,yes
C0007686,ישבה,Lam.1.1,בהיש,317,225,1135,7A7,yes
C0007711,ישיג,Lev.26.5,גייש,323,22B,1147,7B7,yes
C0007715,ישיק,Isa.44.15,ייקש,420,2B0,1341,939,yes
C0007731,ישמע,1Sam.1.13,ימעש,420,2B0,1341,939,yes
C0007766,יתמו,Jer.14.15,וימת,456,320,1413,999,yes
C0007783,כאבי,Jer.15.18,אביכ,33,29,567,3B3,yes
C0007792,כאחד,1Sam.17.36,אדחכ,33,29,567,3B3,yes
C0007814,כבאי,Gen.44.30,אביכ,33,29,567,3B3,yes
C0007828,כבית,1Kgs.16.3,ביכת,432,300,1365,959,yes
C0007942,כילק,Jer.51.14,יכלק,160,114,821,585,yes
C0007974,כלות,2Chr.29.34,וכלת,456,320,1413,999,yes
C0007991,כלתו,1Chr.2.4,וכלת,456,320,1413,999,yes
C0008003,כמטר,Deut.32.2,טכמר,269,1A5,1039,727,yes
C0008023,כנהר,Isa.48.18,הכנר,275,1AB,1051,737,yes
C0008025,כנוס,Eccl.3.5,וכנס,136,B4,773,545,yes
C0008036,כנפי,1Kgs.6.27,יכנפ,160,114,821,585,yes
C0008039,כנפש,1Kgs.19.2,כנפש,450,316,1401,989,yes
C0008066,כספו,Exod.21.21,וכספ,166,11A,833,595,yes
C0008102,כפול,Exod.28.16,וכלפ,136,B4,773,545,yes
C0008116,כפרה,Hos.4.16,הכפר,305,215,1111,787,yes
C0008149,כרגע,Num.16.21,גכער,293,205,1087,767,yes
C0008176,כשבא,Eccl.5.14,אבכש,323,22B,1147,7B7,yes
C0008202,כשסע,Judg.14.6,כסעש,450,316,1401,989,yes
C0008266,לאפר,Ezek.28.18,אלפר,311,21B,1123,797,yes
C0008294,לבדק,2Kgs.12.8,בדלק,136,B4,773,545,yes
C0008299,לבות,Prov.15.11,בולת,438,306,1377,969,yes
C0008324,לבקש,1Chr.4.39,בלקש,432,300,1365,959,yes
C0008336,לבתו,1Kgs.9.16,בולת,438,306,1377,969,yes
C0008364,לדבק,Isa.41.7,בדלק,136,B4,773,545,yes
C0008390,להטת,Exod.23.2,הטלת,444,310,1389,979,yes
C0008408,להרע,Gen.31.7,הלער,305,215,1111,787,yes
C0008411,לוחת,Deut.9.9,וחלת,444,310,1389,979,yes
C0008418,לזאת,Exod.7.23,אזלת,438,306,1377,969,yes
C0008422,לזכר,Ezek.23.19,זכלר,257,195,1015,707,yes
C0008441,לחות,1Kgs.8.9,וחלת,444,310,1389,979,yes
C0008519,ליתד,Judg.5.26,דילת,444,310,1389,979,yes
C0008541,לכתו,1Kgs.16.31,וכלת,456,320,1413,999,yes
C0008572,למהר,1Chr.12.9,הלמר,275,1AB,1051,737,yes
C0008595,למפי,2Sam.16.4,ילמפ,160,114,821,585,yes
C0008607,לנבל,1Sam.25.34,בללנ,112,94,725,505,yes
C0008624,לנחל,2Chr.29.16,חללנ,118,9A,737,515,yes
C0008636,לנצח,1Chr.15.21,חלנצ,178,12A,857,5B5,yes
C0008668,לעול,Job.31.3,וללע,136,B4,773,545,yes
C0008674,לעזה,1Sam.6.17,הזלע,112,94,725,505,yes
C0008692,לעני,Eccl.6.8,ילנע,160,114,821,585,yes
C0008713,לפאר,Ezra.7.27,אלפר,311,21B,1123,797,yes
C0008720,לפיד,Job.12.5,דילפ,124,A4,749,525,yes
C0008725,לפסח,Job.29.15,חלספ,178,12A,857,5B5,yes
C0008763,לקוו,Lam.3.25,וולק,142,BA,785,555,yes
C0008765,לקול,1Sam.2.25,וללק,166,11A,833,595,yes
C0008769,לקחי,1Kgs.17.11,חילק,148,104,797,565,yes
C0008786,לקצר,Lev.19.9,לצקר,420,2B0,1341,939,yes
C0008798,לרגל,Gen.33.14,גללר,263,19B,1027,717,yes
C0008813,לרמה,Job.17.14,הלמר,275,1AB,1051,737,yes
C0008815,לרעה,2Chr.18.7,הלער,305,215,1111,787,yes
C0008820,לרפא,Hos.5.13,אלפר,311,21B,1123,797,yes
C0008830,לשבע,Exod.16.3,בלעש,402,296,1305,909,yes
C0008844,לשחק,Jer.48.26,חלקש,438,306,1377,969,yes
C0008938,מאמר,Esth.1.15,אממר,281,1B5,1063,747,yes
C0008983,מבלע,Lam.2.8,בלמע,142,BA,785,555,yes
C0008984,מבלק,Judg.11.25,בלמק,172,124,845,5A5,yes
C0008987,מבעל,2Kgs.4.42,בלמע,142,BA,785,555,yes
C0009038,מדות,Ezek.41.17,דומת,450,316,1401,989,yes
C0009109,מותי,2Sam.19.1,וימת,456,320,1413,999,yes
C0009123,מזער,Isa.10.25,זמער,317,225,1135,7A7,yes
C0009130,מזרע,1Kgs.11.14,זמער,317,225,1135,7A7,yes
C0009135,מחבת,Ezek.4.3,בחמת,450,316,1401,989,yes
C0009161,מחלק,Josh.19.51,חלמק,178,12A,857,5B5,yes
C0009164,מחמס,2Sam.22.3,חממס,148,104,797,565,yes
C0009174,מחסי,Jer.17.17,חימס,118,9A,737,515,yes
C0009178,מחצי,Josh.21.27,חימצ,148,104,797,565,yes
C0009192,מחתת,Num.16.17,חמתת,848,5A8,2197,1331,yes
C0009201,מטעה,Ezek.17.7,הטמע,124,A4,749,525,yes
